Sample	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	W1	W2	W3	W4
Nostocales	40.3756878900605	44.4813278008298	44.7733354959045	71.567117348394	38.1682339301815	46.3985956443029	57.5232	57.8544812708373	68.1247036510194	64.1657229143072	59.6844264767996	60.7022509772206	58.0407931090524	65.2046545691268	56.4455183404878	61.3721043252875	71.0443144374956	59.8172348787422	51.0859156548052	64.5264164983521	49.9455120055213	46.4948974072336	49.6578067802004	43.1822666578964	47.319832607827	33.5106685633001	39.7129186602869	41.8851878100636	38.7326542663123	28.9413611071479	45.4506727253363	1.51258254506514	0.861071841665594	0.550397877984084	8.15732758620688
Oxyphotobacteria_unclassified	1.53411012389707	2.2670690305545	4.09536939420971	3.05778994808602	21.3147838035123	12.9738329036151	4.8384	0.779564620513825	3.73696064485537	0.500188750471875	0.781391419779158	1.50289796468526	1.81618722574354	2.83180079746113	8.68056448088836	7.01846751984448	0.218546163674264	8.5567306770617	2.45144980273489	5.46933134899543	3.81234334701587	6.06541415744112	4.24160432914212	9.66256659869762	8.3170357285555	13.5874822190611	6.19646759997637	5.01771793054571	11.0459108355477	5.81752033100299	4.15705207852603	0.156166339461002	0.0257036370646446	0.0596816976127321	0.0377155172413792
Oxyphotobacteria_Incertae_Sedis	35.8717373259138	26.427763108261	11.0534425431838	10.325745906783	4.49568465799304	8.14087443085193	8.7232	14.3851735634438	1.41951161688003	10.4819428715238	0.0422373740421167	0.107831244102979	0.020315293352836	0.117991699894214	0.120813304886512	0.0283492629191641	0.0706072221101471	5.31680352749464	2.32696211743976	4.52322738386307	9.68433288532093	6.19342973567487	3.60098678975011	10.182200881405	3.09549344941433	5.10953058321479	18.087305806604	22.140326009922	15.6960436964865	19.4499928663147	10.2346551173275	0.156166339461003	0.205629096517156	0.1657824933687	0.086206896551724
Phormidesmiales	0.0522642727580163	0.10939268200679	0.0689319601005595	0.108391807861258	0.0901713255184851	0.126172582149322	0.1152	0.0686409099823494	0.0948316737790422	0.0849377123442808	0	0	0	0	0	0	0.0201734920314706	0.00319519442758091	0.0229823419006396	0.0106303816307005	0.0563042609611682	0.0721214525260538	0.0397899092790068	0.184174176149444	0.12196917124051	0.0369843527738264	0.0767913048614803	0.160642570281124	0.0922645408916444	0.363817948352118	0.0816500408250204	0.00446189541317151	0.0128518185323223	0	0
Cytophagales	6.29323331386232	7.56318370426252	7.82985970318707	2.21347481316675	9.93172742496456	6.11114158758021	6.7584	7.78584036085505	6.46633475580844	6.69749591040643	11.8204308212152	4.38064429168351	8.58930602957906	7.51891935877612	4.68087294039019	4.4022355418759	6.24369578374015	11.6848260216634	12.9122457578427	6.58020622940362	16.355479675978	13.1838015217626	13.6280439280598	12.0239426428994	12.6658675583034	11.4537695590327	8.15759938566954	6.57217103708952	6.85341009743135	11.4566985304608	10.0181050090525	0.696055684454755	0.963886389924173	0.417771883289124	0.673491379310344
Chloroflexales	3.03440218895072	2.62165220671444	2.72483983456329	1.75708825375092	2.66220103911717	3.09397114487903	3.2128	3.60364777407335	2.04777145566619	1.39046180948785	0.561153683702407	0.0202183582693085	0.0243783520234032	0.248189437708519	1.11045420661645	0.121496841082132	0.013448994687647	0.220468415503083	0.0153215612670931	0.59530137131923	1.06433215881434	2.67931196134289	3.00413815056501	1.74965467341971	1.52251172376085	1.4452347083926	2.29783212239352	1.74344436569808	3.38057277826985	1.99029818804394	1.94185097092548	0.053542744958058	0.0385554555969669	0.03315649867374	0.0484913793103448
Aeromonadales	0	0.0226329686910599	0.888005838942502	0.18255462376633	0.124522306668384	0.00548576444127489	0.0192	0.0147087664247891	0.0325983878615457	0.0723543475525355	0	0	0.0040630586705672	0	0	0	0	0.00319519442758091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713903266107442	0.102814548258578	0.0862068965517241	0.043103448275862
Flavobacteriales	0.568758262366649	1.10147114296492	4.27783634741707	0.695989503109133	5.10112070076001	1.47567063470294	1.9456	1.46107079819572	1.7988383119962	1.42506606266516	0.778374464490435	18.7019813991104	13.7209491305054	9.28065749857595	10.6367118217104	15.1871051352664	1.36507296079618	1.4729846311148	7.22794652775117	1.54672052726693	1.54927530967343	0.861851357686341	0.5888906573293	0.572255475892914	0.271276260172859	0.281650071123755	0.460747829168882	0.297661233167965	0.383820490109241	1.20559280924525	0.706450353225174	46.1359985721934	42.8608148052948	51.6246684350132	49.2672413793103
Xanthomonadales	0.104528545516033	0.0905318747642399	0.105425350742032	0.353699583547264	0.167461033105758	0.0603434088540236	0.0448	0.264757795646204	0.216334755808439	0.327167484585378	0.337898992336933	0.640248011861435	0.33317081098651	1.58271625030514	1.44718916278949	0.417139154381986	0.45726581938	0.223663609930664	0.162791588462864	0.164770915275858	0.359620763558429	0.311925282175182	0.286487346808849	0.38808129974347	0.0357495846739427	0.182076813655761	0.567074251284777	0.278762107252539	0.221434898139946	0.296047938364959	0.489900244950122	0.245404247724433	0.359850918905024	0.185676392572944	0.150862068965517
Leptolyngbyales	0.0922310695729701	0.513013956997359	2.4937150271673	2.37891494095498	3.30628193567778	1.68412968347139	2.2144	1.62777015100999	1.95590327169274	1.28979489115389	0.929222228926566	2.02857527968728	2.99853729887859	0.968345674993896	1.55772048428142	0.708731572979102	2.97895232331382	1.82126082372111	10.7136017160149	3.31136387796321	2.1304805841113	4.68248530525404	3.77208339964985	2.98625271328027	1.16081004353038	2.2475106685633	7.35424419634946	5.48074651547365	5.46206082078535	7.55813953488371	2.62700131350065	0.035695163305372	0.0257036370646446	0	0.021551724137931
